uf,cidade
AC,Rio Branco
AL,Maceio
AP,Macapa
AM,Manaus
BA,Salvador
CE,Fortaleza
DF,Brasilia
ES,Vitoria
GO,Goiania
MA,Sao Luis
MT,Cuiaba
MS,Campo Grande
MG,Belo Horizonte
PA,Belem
PB,Joao Pessoa
PR,Curitiba
PE,Recife
PI,Teresina
RJ,Rio de Janeiro
RN,Natal
RS,Porto Alegre
RO,Porto Velho
RR,Boa Vista
SC,Florianopolis
SP,Sao Paulo
SE,Aracaju
TO,Palmas
